id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1089552,37749,harumkoh,harum.koh,CC-BY,http://www.inaturalist.org/observations/1089552,https://inaturalist-open-data.s3.amazonaws.com/photos/1368739/medium.jpg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
3356042,73671,purperlibel,"",CC-BY,http://www.inaturalist.org/observations/3356042,https://inaturalist-open-data.s3.amazonaws.com/photos/3875119/medium.JPG,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
3356051,73671,purperlibel,"",CC-BY,http://www.inaturalist.org/observations/3356051,https://inaturalist-open-data.s3.amazonaws.com/photos/3875135/medium.JPG,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
6715734,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/6715734,https://inaturalist-open-data.s3.amazonaws.com/photos/8522252/medium.jpg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
19765739,1290751,esant,Emanuele Santarelli,CC-BY-NC,https://www.inaturalist.org/observations/19765739,https://inaturalist-open-data.s3.amazonaws.com/photos/30457783/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
22679956,1484582,gillessanmartin,Gilles San Martin,CC0,https://www.inaturalist.org/observations/22679956,https://inaturalist-open-data.s3.amazonaws.com/photos/35141104/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
22852852,1484582,gillessanmartin,Gilles San Martin,CC0,https://www.inaturalist.org/observations/22852852,https://inaturalist-open-data.s3.amazonaws.com/photos/35418559/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
22969647,1161435,jfgodeau,"",CC-BY,https://www.inaturalist.org/observations/22969647,https://inaturalist-open-data.s3.amazonaws.com/photos/35602992/medium.jpg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
22969662,1161435,jfgodeau,"",CC-BY,https://www.inaturalist.org/observations/22969662,https://inaturalist-open-data.s3.amazonaws.com/photos/35604443/medium.jpg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
23025164,1484582,gillessanmartin,Gilles San Martin,CC0,https://www.inaturalist.org/observations/23025164,https://inaturalist-open-data.s3.amazonaws.com/photos/35692090/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
25491234,73671,purperlibel,"",CC0,https://www.inaturalist.org/observations/25491234,https://inaturalist-open-data.s3.amazonaws.com/photos/39491029/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
26513355,1484582,gillessanmartin,Gilles San Martin,CC0,https://www.inaturalist.org/observations/26513355,https://inaturalist-open-data.s3.amazonaws.com/photos/41175385/medium.jpg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
27665025,1484582,gillessanmartin,Gilles San Martin,CC0,https://www.inaturalist.org/observations/27665025,https://inaturalist-open-data.s3.amazonaws.com/photos/43066406/medium.jpg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
27915399,1620314,gbohne,Dr. Guido Bohne,CC-BY-SA,https://www.inaturalist.org/observations/27915399,https://inaturalist-open-data.s3.amazonaws.com/photos/43480420/medium.jpg,Calvia quatuordecimguttata,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
29269483,1167568,tuenf,Micha Baum,CC-BY,https://www.inaturalist.org/observations/29269483,https://inaturalist-open-data.s3.amazonaws.com/photos/45669761/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
30309020,1161435,jfgodeau,"",CC-BY,https://www.inaturalist.org/observations/30309020,https://inaturalist-open-data.s3.amazonaws.com/photos/47342104/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
35282591,1161435,jfgodeau,"",CC-BY,https://www.inaturalist.org/observations/35282591,https://inaturalist-open-data.s3.amazonaws.com/photos/55618713/medium.jpg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
41962449,1484582,gillessanmartin,Gilles San Martin,CC0,https://www.inaturalist.org/observations/41962449,https://inaturalist-open-data.s3.amazonaws.com/photos/66593174/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
45068446,1161435,jfgodeau,"",CC-BY,https://www.inaturalist.org/observations/45068446,https://inaturalist-open-data.s3.amazonaws.com/photos/71453795/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
