id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
101017,7780,georectified,Sean Frey,CC-BY,http://www.inaturalist.org/observations/101017,https://inaturalist-open-data.s3.amazonaws.com/photos/146239/medium.jpg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
758337,4859,dhobern,Donald Hobern,CC0,http://www.inaturalist.org/observations/758337,https://inaturalist-open-data.s3.amazonaws.com/photos/953344/medium.jpg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
1708035,4859,dhobern,Donald Hobern,CC0,http://www.inaturalist.org/observations/1708035,https://inaturalist-open-data.s3.amazonaws.com/photos/2069488/medium.jpg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
1808756,4859,dhobern,Donald Hobern,CC0,http://www.inaturalist.org/observations/1808756,https://inaturalist-open-data.s3.amazonaws.com/photos/2192680/medium.jpg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
4428982,353381,wildhamandpetersham,Paul Cook,CC-BY,http://www.inaturalist.org/observations/4428982,https://inaturalist-open-data.s3.amazonaws.com/photos/5328620/medium.jpeg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
5905071,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/5905071,https://inaturalist-open-data.s3.amazonaws.com/photos/7364218/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
6168455,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/6168455,https://inaturalist-open-data.s3.amazonaws.com/photos/7736793/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
6251437,284134,connietaylor,Connie Taylor,CC-BY,https://www.inaturalist.org/observations/6251437,https://inaturalist-open-data.s3.amazonaws.com/photos/7859642/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
6596534,188597,gonodactylus,Mathew Zappa,CC-BY,https://www.inaturalist.org/observations/6596534,https://inaturalist-open-data.s3.amazonaws.com/photos/8374247/medium.jpg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
6707279,284134,connietaylor,Connie Taylor,CC-BY,https://www.inaturalist.org/observations/6707279,https://inaturalist-open-data.s3.amazonaws.com/photos/8508769/medium.jpeg,Greater Lady Beetles,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
6715859,512793,fornaeffe,Luca Fornasari,CC-BY,https://www.inaturalist.org/observations/6715859,https://inaturalist-open-data.s3.amazonaws.com/photos/8522566/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
7113780,491170,blazeclaw,Jared Shorma,CC-BY,https://www.inaturalist.org/observations/7113780,https://inaturalist-open-data.s3.amazonaws.com/photos/9148867/medium.jpg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
7764418,491114,awenninger,Alexandria 'Alex' Wenninger,CC-BY,https://www.inaturalist.org/observations/7764418,https://inaturalist-open-data.s3.amazonaws.com/photos/10198672/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
8627938,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/8627938,https://inaturalist-open-data.s3.amazonaws.com/photos/11546576/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
8899744,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/8899744,https://inaturalist-open-data.s3.amazonaws.com/photos/11976036/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
11784423,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/11784423,https://inaturalist-open-data.s3.amazonaws.com/photos/16854749/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
12987891,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/12987891,https://inaturalist-open-data.s3.amazonaws.com/photos/18888934/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13173741,1002688,kitbeard,"",CC-BY,https://www.inaturalist.org/observations/13173741,https://inaturalist-open-data.s3.amazonaws.com/photos/19245298/medium.jpeg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13240680,1000,muir,Matt Muir,CC-BY,https://www.inaturalist.org/observations/13240680,https://inaturalist-open-data.s3.amazonaws.com/photos/19368915/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13247339,491114,awenninger,Alexandria 'Alex' Wenninger,CC-BY,https://www.inaturalist.org/observations/13247339,https://inaturalist-open-data.s3.amazonaws.com/photos/19382790/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13484070,4859,dhobern,Donald Hobern,CC0,https://www.inaturalist.org/observations/13484070,https://inaturalist-open-data.s3.amazonaws.com/photos/19801079/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13543339,1000,muir,Matt Muir,CC-BY,https://www.inaturalist.org/observations/13543339,https://inaturalist-open-data.s3.amazonaws.com/photos/19907264/medium.jpeg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13767307,85109,dschigel,"",CC-BY,https://www.inaturalist.org/observations/13767307,https://inaturalist-open-data.s3.amazonaws.com/photos/20298357/medium.jpg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
13974482,999066,alexis_orion,Alexis Tinker-Tsavalas,CC-BY,https://www.inaturalist.org/observations/13974482,https://inaturalist-open-data.s3.amazonaws.com/photos/20661590/medium.jpeg,Roomvleklieveheersbeestje,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
14983761,114138,jollygoodyellow,alicia penney,CC-BY,https://www.inaturalist.org/observations/14983761,https://inaturalist-open-data.s3.amazonaws.com/photos/22351005/medium.jpg,Vierzehntropfiger Marienkäfer,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
15327457,284134,connietaylor,Connie Taylor,CC-BY,https://www.inaturalist.org/observations/15327457,https://inaturalist-open-data.s3.amazonaws.com/photos/22954476/medium.jpeg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
15507237,18823,ahospers,Andre Hosper,CC-BY-NC,https://www.inaturalist.org/observations/15507237,https://inaturalist-open-data.s3.amazonaws.com/photos/23248245/medium.jpeg,Coccinelle à quatorze points,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
15860695,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/15860695,https://inaturalist-open-data.s3.amazonaws.com/photos/23712257/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
15872596,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/15872596,https://inaturalist-open-data.s3.amazonaws.com/photos/23734659/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
15939055,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/15939055,https://inaturalist-open-data.s3.amazonaws.com/photos/23848871/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
17461883,643786,mortenriser,Morten Riser Myrvig,CC-BY,https://www.inaturalist.org/observations/17461883,https://inaturalist-open-data.s3.amazonaws.com/photos/26550639/medium.jpg,Cream-spotted Ladybird,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
18772562,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/18772562,https://inaturalist-open-data.s3.amazonaws.com/photos/28750059/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
19541492,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/19541492,https://inaturalist-open-data.s3.amazonaws.com/photos/30075344/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
19541856,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/19541856,https://inaturalist-open-data.s3.amazonaws.com/photos/30075897/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
19737756,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/19737756,https://inaturalist-open-data.s3.amazonaws.com/photos/30411139/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
19777280,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/19777280,https://inaturalist-open-data.s3.amazonaws.com/photos/30477525/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
19782756,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/19782756,https://inaturalist-open-data.s3.amazonaws.com/photos/30486816/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
20076099,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/20076099,https://inaturalist-open-data.s3.amazonaws.com/photos/31000866/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
20290893,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/20290893,https://inaturalist-open-data.s3.amazonaws.com/photos/31324670/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
20317092,353381,wildhamandpetersham,Paul Cook,CC-BY,https://www.inaturalist.org/observations/20317092,https://inaturalist-open-data.s3.amazonaws.com/photos/31371318/medium.jpg,,Calvia quatuordecimguttata,Cream-spotted Ladybird,Insecta,69203
