id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
789590,5772,juancruzado,Juan Cruzado Cortés,CC-BY-NC-SA,http://www.inaturalist.org/observations/789590,https://inaturalist-open-data.s3.amazonaws.com/photos/992990/medium.JPG,Brachiacantha decora,Brachiacantha decora,,Insecta,309016
802480,44310,garychang,Gary Chang,CC-BY-NC,http://www.inaturalist.org/observations/802480,https://inaturalist-open-data.s3.amazonaws.com/photos/1010799/medium.jpg,Scymnus,Scymnus,,Insecta,132004
1372138,5772,juancruzado,Juan Cruzado Cortés,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/1372138,https://inaturalist-open-data.s3.amazonaws.com/photos/1697088/medium.JPG,Brachiacantha decora,Brachiacantha decora,,Insecta,309016
1520583,5772,juancruzado,Juan Cruzado Cortés,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/1520583,https://inaturalist-open-data.s3.amazonaws.com/photos/1885039/medium.JPG,Brachiacantha decora,Brachiacantha decora,,Insecta,309016
2572978,5772,juancruzado,Juan Cruzado Cortés,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/2572978,https://inaturalist-open-data.s3.amazonaws.com/photos/2870746/medium.JPG,Hyperaspidius,Hyperaspidius,Small Pied Lady Beetles,Insecta,177712
3418163,166761,fabienpiednoir,Fabien Piednoir,CC-BY-SA,http://www.inaturalist.org/observations/3418163,https://inaturalist-open-data.s3.amazonaws.com/photos/3958365/medium.JPG,Scymnus,Scymnus,,Insecta,132004
3418642,166761,fabienpiednoir,Fabien Piednoir,CC-BY-SA,http://www.inaturalist.org/observations/3418642,https://inaturalist-open-data.s3.amazonaws.com/photos/3958859/medium.JPG,Scymninae,Scymninae,,Insecta,354096
3567359,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/3567359,https://inaturalist-open-data.s3.amazonaws.com/photos/4141814/medium.jpg,Lady Beetles,Scymnus,,Insecta,132004
4434449,216168,psweet,"",CC-BY-SA,http://www.inaturalist.org/observations/4434449,https://inaturalist-open-data.s3.amazonaws.com/photos/5336050/medium.jpg,Ursine Spurleg Lady Beetle,Brachiacantha ursina,Ursine Spurleg Lady Beetle,Insecta,196609
4790842,135719,fynkynd,Fyn Kynd,CC-BY-SA,https://www.inaturalist.org/observations/4790842,https://inaturalist-open-data.s3.amazonaws.com/photos/5838808/medium.jpg,Spurleg Ladybeetles,Brachiacantha felina,Orange-spotted Lady Beetle,Insecta,215333
5296124,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/5296124,https://inaturalist-open-data.s3.amazonaws.com/photos/6554156/medium.jpg,Bigeminate Sigil Ladybeetle,Hyperaspis bigeminata,Bigeminate Sigil Lady Beetle,Insecta,221986
5979299,166761,fabienpiednoir,Fabien Piednoir,CC-BY-SA,https://www.inaturalist.org/observations/5979299,https://inaturalist-open-data.s3.amazonaws.com/photos/7474488/medium.jpeg,Scymnus interruptus,Scymnus interruptus,Red-flanked Scymnus,Insecta,343143
6195144,166761,fabienpiednoir,Fabien Piednoir,CC-BY-SA,https://www.inaturalist.org/observations/6195144,https://inaturalist-open-data.s3.amazonaws.com/photos/7773192/medium.jpeg,Scymnus subvillosus,Scymnus subvillosus,,Insecta,343135
6195288,166761,fabienpiednoir,Fabien Piednoir,CC-BY-SA,https://www.inaturalist.org/observations/6195288,https://inaturalist-open-data.s3.amazonaws.com/photos/7776336/medium.jpeg,Dot Ladybird,Stethorus pusillus,Dot Ladybird,Insecta,547788
6666342,166761,fabienpiednoir,Fabien Piednoir,CC-BY-SA,https://www.inaturalist.org/observations/6666342,https://inaturalist-open-data.s3.amazonaws.com/photos/8447303/medium.jpeg,Red-flanked Scymnus,Scymnus interruptus,Red-flanked Scymnus,Insecta,343143
6682717,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/6682717,https://inaturalist-open-data.s3.amazonaws.com/photos/8471424/medium.jpg,Scymnus rubromaculatus,Scymnus rubromaculatus,,Insecta,497239
6701312,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/6701312,https://inaturalist-open-data.s3.amazonaws.com/photos/8500147/medium.jpg,Dot Ladybird,Stethorus pusillus,Dot Ladybird,Insecta,547788
6719899,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/6719899,https://inaturalist-open-data.s3.amazonaws.com/photos/8528341/medium.jpg,Nephus bipunctatus,Nephus bipunctatus,,Insecta,495542
6762635,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/6762635,https://inaturalist-open-data.s3.amazonaws.com/photos/8593605/medium.jpg,Lateral Sigil Lady Beetle,Hyperaspis lateralis,Lateral Sigil Lady Beetle,Insecta,320378
6773281,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/6773281,https://inaturalist-open-data.s3.amazonaws.com/photos/8609596/medium.jpg,Dusky Ladybeetles,Scymnus,,Insecta,132004
6819925,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/6819925,https://inaturalist-open-data.s3.amazonaws.com/photos/8680903/medium.jpg,Dusky Ladybeetles,Scymnus,,Insecta,132004
6918689,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/6918689,https://inaturalist-open-data.s3.amazonaws.com/photos/8833534/medium.jpg,Ant-nest Ladybird,Platynaspis luteorubra,Ant-nest Ladybird,Insecta,343122
7756676,1515879,judygva,Judy Gallagher,CC-BY,https://www.inaturalist.org/observations/7756676,https://inaturalist-open-data.s3.amazonaws.com/photos/10186394/medium.jpg,Scymnus,Scymnus,,Insecta,132004
7972803,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/7972803,https://inaturalist-open-data.s3.amazonaws.com/photos/10538787/medium.jpg,Dusky Lady Beetles,Scymnus,,Insecta,132004
7973739,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/7973739,https://inaturalist-open-data.s3.amazonaws.com/photos/10540276/medium.jpg,Dusky Ladybeetles,Scymnus,,Insecta,132004
8787558,697177,reinerjakubowski,Reiner Jakubowski,CC-BY-NC,https://www.inaturalist.org/observations/8787558,https://inaturalist-open-data.s3.amazonaws.com/photos/11794887/medium.jpg,Ursine Spurleg Lady Beetle,Brachiacantha ursina,Ursine Spurleg Lady Beetle,Insecta,196609
8957492,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/8957492,https://inaturalist-open-data.s3.amazonaws.com/photos/12074174/medium.jpg,Bigeminate Sigil Ladybeetle,Hyperaspis bigeminata,Bigeminate Sigil Lady Beetle,Insecta,221986
9231078,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/9231078,https://inaturalist-open-data.s3.amazonaws.com/photos/12493095/medium.jpg,Cryptogonus,Cryptogonus,,Insecta,491941
9317842,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/9317842,https://inaturalist-open-data.s3.amazonaws.com/photos/12634604/medium.jpg,Scymninae,Scymninae,,Insecta,354096
10426393,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/10426393,https://inaturalist-open-data.s3.amazonaws.com/photos/14485234/medium.jpg,Dusky Lady Beetles,Scymnini,Dusky Lady Beetles,Insecta,475616
10428604,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/10428604,https://inaturalist-open-data.s3.amazonaws.com/photos/14489233/medium.jpg,Cryptogonus,Cryptogonus,,Insecta,491941
10445996,405804,emilychebul,Emily Chebul,CC-BY-SA,https://www.inaturalist.org/observations/10445996,https://inaturalist-open-data.s3.amazonaws.com/photos/14519173/medium.jpg,,Scymnini,Dusky Lady Beetles,Insecta,475616
11202375,792137,mkriek,M Kriek,CC-BY-SA,https://www.inaturalist.org/observations/11202375,https://inaturalist-open-data.s3.amazonaws.com/photos/15880757/medium.jpg,Scymninae,Scymninae,,Insecta,354096
11300501,792137,mkriek,M Kriek,CC-BY-SA,https://www.inaturalist.org/observations/11300501,https://inaturalist-open-data.s3.amazonaws.com/photos/16079305/medium.jpg,Platynaspis,Platynaspis,,Insecta,343123
11334746,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/11334746,https://inaturalist-open-data.s3.amazonaws.com/photos/16142509/medium.jpg,Lateral Sigil Ladybeetle,Hyperaspis lateralis,Lateral Sigil Lady Beetle,Insecta,320378
11386405,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/11386405,https://inaturalist-open-data.s3.amazonaws.com/photos/16228333/medium.jpg,Cryptogonus,Cryptogonus,,Insecta,491941
12621531,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/12621531,https://inaturalist-open-data.s3.amazonaws.com/photos/18252176/medium.jpg,Sigil Lady Beetles,Hyperaspis,Sigil Lady Beetles,Insecta,133139
12919738,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/12919738,https://inaturalist-open-data.s3.amazonaws.com/photos/18768663/medium.jpg,Dusky Lady Beetles,Scymnini,Dusky Lady Beetles,Insecta,475616
15005919,697177,reinerjakubowski,Reiner Jakubowski,CC-BY-NC,https://www.inaturalist.org/observations/15005919,https://inaturalist-open-data.s3.amazonaws.com/photos/22389124/medium.jpg,Ursine Spurleg Ladybeetle,Brachiacantha ursina,Ursine Spurleg Lady Beetle,Insecta,196609
15345046,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/15345046,https://inaturalist-open-data.s3.amazonaws.com/photos/22986286/medium.jpg,Bigeminate Sigil Ladybeetle,Hyperaspis bigeminata,Bigeminate Sigil Lady Beetle,Insecta,221986
16989135,43591,wildcarrot,Meghan Cassidy,CC-BY-SA,https://www.inaturalist.org/observations/16989135,https://inaturalist-open-data.s3.amazonaws.com/photos/25687360/medium.jpg,Scymnus,Scymnus,,Insecta,132004
17646328,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/17646328,https://inaturalist-open-data.s3.amazonaws.com/photos/26883350/medium.jpg,Dusky Lady Beetles,Scymnini,Dusky Lady Beetles,Insecta,475616
17836204,1151287,zinogre,Zinogre,CC-BY-SA,https://www.inaturalist.org/observations/17836204,https://inaturalist-open-data.s3.amazonaws.com/photos/27402699/medium.jpg,Lateral Sigil Lady Beetle,Hyperaspis lateralis,Lateral Sigil Lady Beetle,Insecta,320378
17859154,1151287,zinogre,Zinogre,CC-BY-SA,https://www.inaturalist.org/observations/17859154,https://inaturalist-open-data.s3.amazonaws.com/photos/27263560/medium.jpg,Nephus flavifrons,Nephus flavifrons,,Insecta,225804
18011588,495142,portioid,portioid,CC-BY-SA,https://www.inaturalist.org/observations/18011588,https://inaturalist-open-data.s3.amazonaws.com/photos/27534840/medium.jpg,Cryptogonus,Cryptogonus,,Insecta,491941
18742353,1151287,zinogre,Zinogre,CC-BY-SA,https://www.inaturalist.org/observations/18742353,https://inaturalist-open-data.s3.amazonaws.com/photos/28698924/medium.jpg,Scymnus,Scymnus,,Insecta,132004
19351869,1290751,esant,Emanuele Santarelli,CC-BY-NC,https://www.inaturalist.org/observations/19351869,https://inaturalist-open-data.s3.amazonaws.com/photos/29757828/medium.jpeg,Scymninae,Scymnus interruptus,Red-flanked Scymnus,Insecta,343143
19530325,726708,curiousann,AnnLazaro,CC-BY-SA,https://www.inaturalist.org/observations/19530325,https://inaturalist-open-data.s3.amazonaws.com/photos/30057136/medium.jpg,Scymnini,Scymnini,Dusky Lady Beetles,Insecta,475616
19742532,138207,christopherstephens,Christopher Stephens,CC-BY,https://www.inaturalist.org/observations/19742532,https://inaturalist-open-data.s3.amazonaws.com/photos/30419065/medium.jpeg,Minute two-spotted ladybird,Diomus notescens,Minute two-spotted ladybird,Insecta,388646
19903901,1515879,judygva,Judy Gallagher,CC-BY,https://www.inaturalist.org/observations/19903901,https://inaturalist-open-data.s3.amazonaws.com/photos/30698348/medium.jpg,Brachiacantha dentipes,Brachiacantha dentipes,,Insecta,215332
