id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
634701,9950,jmcalpin,Jessica,CC-BY,http://www.inaturalist.org/observations/634701,https://inaturalist-open-data.s3.amazonaws.com/photos/798239/medium.jpg,Sigil Ladybeetles,Hyperaspis,Sigil Lady Beetles,Insecta,133139
679105,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/679105,https://inaturalist-open-data.s3.amazonaws.com/photos/855407/medium.JPG,Hyperaspis lateralis,Hyperaspis lateralis,Lateral Sigil Lady Beetle,Insecta,320378
1116044,3785,treegrow,Katja Schulz,CC0,http://www.inaturalist.org/observations/1116044,https://inaturalist-open-data.s3.amazonaws.com/photos/1402379/medium.jpg,Scymnus,Scymnus,,Insecta,132004
1652544,52839,glmory,Jesse Rorabaugh,CC-BY,http://www.inaturalist.org/observations/1652544,https://inaturalist-open-data.s3.amazonaws.com/photos/2027494/medium.JPG,Scymnus,Scymnus,,Insecta,132004
1672662,2179,charlie,naturalist charlie,CC0,http://www.inaturalist.org/observations/1672662,https://inaturalist-open-data.s3.amazonaws.com/photos/2035934/medium.jpg,Ursine Spurleg Lady Beetle,Brachiacantha ursina,Ursine Spurleg Lady Beetle,Insecta,196609
1750112,8669,smpbiologist-rcurtis,Summit Metro Parks,CC-BY,http://www.inaturalist.org/observations/1750112,https://inaturalist-open-data.s3.amazonaws.com/photos/2123855/medium.jpg,Beetles,Scymnini,Dusky Lady Beetles,Insecta,475616
1823587,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/1823587,https://inaturalist-open-data.s3.amazonaws.com/photos/2212197/medium.JPG,Scymnus,Scymnus,,Insecta,132004
1826174,114138,jollygoodyellow,alicia penney,CC-BY,http://inaturalist.ca/observations/1826174,https://inaturalist-open-data.s3.amazonaws.com/photos/2215915/medium.jpg,Scymninae,Scymninae,,Insecta,354096
1831700,49094,cannizag,Andrew Cannizzaro,CC-BY,http://www.inaturalist.org/observations/1831700,https://inaturalist-open-data.s3.amazonaws.com/photos/2223970/medium.jpg,Brachiacantha ursina,Brachiacantha ursina,Ursine Spurleg Lady Beetle,Insecta,196609
1845373,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/1845373,https://inaturalist-open-data.s3.amazonaws.com/photos/2242521/medium.JPG,Hyperaspis bigeminata,Hyperaspis bigeminata,Bigeminate Sigil Lady Beetle,Insecta,221986
1858777,43807,keimwj,Bill Keim,CC-BY,http://www.inaturalist.org/observations/1858777,https://inaturalist-open-data.s3.amazonaws.com/photos/2261049/medium.jpg,Scymnus,Scymnus,,Insecta,132004
1916938,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/1916938,https://inaturalist-open-data.s3.amazonaws.com/photos/2342237/medium.JPG,Bigemini Lady Beetle,Hyperaspis bigeminata,Bigeminate Sigil Lady Beetle,Insecta,221986
2398355,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/2398355,https://inaturalist-open-data.s3.amazonaws.com/photos/2672855/medium.JPG,Scymninae,Scymninae,,Insecta,354096
2648313,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/2648313,https://inaturalist-open-data.s3.amazonaws.com/photos/2974033/medium.JPG,Scymninae,Scymninae,,Insecta,354096
2730306,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/2730306,https://inaturalist-open-data.s3.amazonaws.com/photos/3079919/medium.JPG,Scymninae,Scymninae,,Insecta,354096
2887429,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/2887429,https://inaturalist-open-data.s3.amazonaws.com/photos/3300374/medium.JPG,Scymninae,Scymninae,,Insecta,354096
3041064,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/3041064,https://inaturalist-open-data.s3.amazonaws.com/photos/3501096/medium.JPG,Hyperaspidini,Hyperaspidini,,Insecta,475799
3041080,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/3041080,https://inaturalist-open-data.s3.amazonaws.com/photos/3501112/medium.JPG,Hyperaspidini,Hyperaspidini,,Insecta,475799
3041095,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/3041095,https://inaturalist-open-data.s3.amazonaws.com/photos/3501128/medium.JPG,Scymninae,Scymninae,,Insecta,354096
3305712,21626,francisco3_,Francisco Farriols Sarabia,CC-BY,http://conabio.inaturalist.org/observations/3305712,https://inaturalist-open-data.s3.amazonaws.com/photos/3820635/medium.JPG,Scymninae,Scymninae,,Insecta,354096
3352197,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/3352197,https://inaturalist-open-data.s3.amazonaws.com/photos/3871863/medium.JPG,Diomus terminatus,Diomus terminatus,Firefly Duskyling,Insecta,218478
3361931,42111,belemqueuedelapin,José Belem Hernández Díaz,CC-BY-NC,http://conabio.inaturalist.org/observations/3361931,https://inaturalist-open-data.s3.amazonaws.com/photos/3882135/medium.jpg,Catarinas de espolones,Brachiacantha,Spurleg Lady Beetles,Insecta,173300
3369602,151091,jessica32,Jessica Newbern,CC-BY,http://www.inaturalist.org/observations/3369602,https://inaturalist-open-data.s3.amazonaws.com/photos/3890282/medium.jpg,Ursine Spurleg Ladybeetle,Brachiacantha ursina,Ursine Spurleg Lady Beetle,Insecta,196609
3389736,4859,dhobern,Donald Hobern,CC0,http://www.inaturalist.org/observations/3389736,https://inaturalist-open-data.s3.amazonaws.com/photos/3918952/medium.jpg,paahdepikkupirkko,Scymnus rubromaculatus,,Insecta,497239
3430090,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/3430090,https://inaturalist-open-data.s3.amazonaws.com/photos/3973350/medium.JPG,Scymnus louisianae,Scymnus louisianae,,Insecta,488176
