id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
389655,21124,danielcarpenter2,Daniel Carpenter,CC-BY-SA,http://www.inaturalist.org/observations/389655,https://inaturalist-open-data.s3.amazonaws.com/photos/487380/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
528277,5772,juancruzado,Juan Cruzado Cortés,CC-BY-NC-SA,http://www.inaturalist.org/observations/528277,https://inaturalist-open-data.s3.amazonaws.com/photos/672145/medium.JPG,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
531734,26019,judielaine,Judith Bush,CC0,http://www.inaturalist.org/observations/531734,https://inaturalist-open-data.s3.amazonaws.com/photos/676141/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
560837,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/560837,https://inaturalist-open-data.s3.amazonaws.com/photos/714371/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
649973,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/649973,https://inaturalist-open-data.s3.amazonaws.com/photos/819670/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
649983,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/649983,https://inaturalist-open-data.s3.amazonaws.com/photos/819680/medium.jpg,Ladybird Beetles,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
654965,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/654965,https://inaturalist-open-data.s3.amazonaws.com/photos/826515/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
682822,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/682822,https://inaturalist-open-data.s3.amazonaws.com/photos/859727/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
682851,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/682851,https://inaturalist-open-data.s3.amazonaws.com/photos/859756/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
683520,18329,eddiedunbar,Eddie Dunbar,CC-BY-SA,http://www.inaturalist.org/observations/683520,https://inaturalist-open-data.s3.amazonaws.com/photos/860609/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
788072,44310,garychang,Gary Chang,CC-BY-NC,http://www.inaturalist.org/observations/788072,https://inaturalist-open-data.s3.amazonaws.com/photos/990915/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
