id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1623,1,kueda,Ken-ichi Ueda,CC0,http://www.inaturalist.org/observations/1623,https://inaturalist-open-data.s3.amazonaws.com/photos/1853/medium.jpg,Convergent lady beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
22052,354,folini,Franco Folini,CC-BY,http://www.inaturalist.org/observations/22052,https://inaturalist-open-data.s3.amazonaws.com/photos/39445/medium.jpg,convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
23117,462,barbarab,Barbara Banfield,CC-BY,http://www.inaturalist.org/observations/23117,https://inaturalist-open-data.s3.amazonaws.com/photos/41775/medium.JPG,convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
28151,354,folini,Franco Folini,CC-BY,http://www.inaturalist.org/observations/28151,https://inaturalist-open-data.s3.amazonaws.com/photos/49988/medium.jpg,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
33828,3090,zabbey,Zack Abbey,CC-BY,http://www.inaturalist.org/observations/33828,https://inaturalist-open-data.s3.amazonaws.com/photos/57623/medium.JPG,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
38964,1,kueda,Ken-ichi Ueda,CC0,http://www.inaturalist.org/observations/38964,https://inaturalist-open-data.s3.amazonaws.com/photos/64842/medium.jpg,Convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
48998,1907,rickr,rickr,CC-BY,http://www.inaturalist.org/observations/48998,https://inaturalist-open-data.s3.amazonaws.com/photos/78638/medium.JPG,Convergent lady beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
49151,2179,charlie,naturalist charlie,CC0,http://www.inaturalist.org/observations/49151,https://inaturalist-open-data.s3.amazonaws.com/photos/78788/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
55586,462,barbarab,Barbara Banfield,CC-BY,http://www.inaturalist.org/observations/55586,https://inaturalist-open-data.s3.amazonaws.com/photos/86881/medium.JPG,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
151247,10999,rappman,"",CC-BY,http://www.inaturalist.org/observations/151247,https://inaturalist-open-data.s3.amazonaws.com/photos/208010/medium.jpg,Convergent Lady Beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
191906,1907,rickr,rickr,CC-BY,http://www.inaturalist.org/observations/191906,https://inaturalist-open-data.s3.amazonaws.com/photos/246728/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
206041,554,sterling,Sterling Sheehy,CC-BY,http://www.inaturalist.org/observations/206041,https://inaturalist-open-data.s3.amazonaws.com/photos/261588/medium.jpg,Convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
218016,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/218016,https://inaturalist-open-data.s3.amazonaws.com/photos/274724/medium.JPG,Convergent lady beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
218017,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/218017,https://inaturalist-open-data.s3.amazonaws.com/photos/274727/medium.JPG,,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
219355,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/219355,https://inaturalist-open-data.s3.amazonaws.com/photos/276328/medium.JPG,Convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
253220,10814,smartrf,"Richard Smart (he, him, his)",CC-BY,http://www.inaturalist.org/observations/253220,https://inaturalist-open-data.s3.amazonaws.com/photos/315472/medium.jpg,Convergent Ladybug,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
271608,13514,swbirder,Bob Miller,CC-BY,http://www.inaturalist.org/observations/271608,https://static.inaturalist.org/photos/335957/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
279777,3090,zabbey,Zack Abbey,CC-BY,http://www.inaturalist.org/observations/279777,https://inaturalist-open-data.s3.amazonaws.com/photos/346175/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
286976,181,rademacherdan,Dan Rademacher,CC-BY,http://www.inaturalist.org/observations/286976,https://inaturalist-open-data.s3.amazonaws.com/photos/527809/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
292529,10814,smartrf,"Richard Smart (he, him, his)",CC-BY,http://www.inaturalist.org/observations/292529,https://inaturalist-open-data.s3.amazonaws.com/photos/362310/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
406920,263,marie,Marie Studer,CC-BY,http://www.inaturalist.org/observations/406920,https://inaturalist-open-data.s3.amazonaws.com/photos/519775/medium.jpg,Catarina convergente,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
435495,1,kueda,Ken-ichi Ueda,CC0,http://www.inaturalist.org/observations/435495,https://inaturalist-open-data.s3.amazonaws.com/photos/548629/medium.jpg,Convergent Lady Beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
482760,5892,botanygirl,"",CC-BY,http://www.inaturalist.org/observations/482760,https://inaturalist-open-data.s3.amazonaws.com/photos/610361/medium.jpg,Convergent Lady Beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
508896,354,folini,Franco Folini,CC-BY,http://www.inaturalist.org/observations/508896,https://inaturalist-open-data.s3.amazonaws.com/photos/647908/medium.jpg,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
535976,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/535976,https://inaturalist-open-data.s3.amazonaws.com/photos/681676/medium.jpg,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
543444,5326,dipperanch,Cindy Roessler,CC-BY,http://www.inaturalist.org/observations/543444,https://inaturalist-open-data.s3.amazonaws.com/photos/690863/medium.jpg,Convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
560132,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/560132,https://inaturalist-open-data.s3.amazonaws.com/photos/713445/medium.jpg,Convergent Lady Beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
671227,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/671227,https://inaturalist-open-data.s3.amazonaws.com/photos/845541/medium.jpg,Convergent Lady Beetle (Hippodamia convergens),Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
671411,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/671411,https://inaturalist-open-data.s3.amazonaws.com/photos/845747/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
677696,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/677696,https://inaturalist-open-data.s3.amazonaws.com/photos/853677/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
837071,9365,taj,Taji,CC-BY,http://www.inaturalist.org/observations/837071,https://inaturalist-open-data.s3.amazonaws.com/photos/1059570/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1028648,910,icosahedron,John Hibbard,CC-BY,http://www.inaturalist.org/observations/1028648,https://inaturalist-open-data.s3.amazonaws.com/photos/1290005/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1039947,24973,annikaml,Annika Lindqvist,CC-BY,http://www.inaturalist.org/observations/1039947,https://inaturalist-open-data.s3.amazonaws.com/photos/1304362/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1102888,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/1102888,https://inaturalist-open-data.s3.amazonaws.com/photos/1386458/medium.JPG,Hippodamia convergens,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1193522,3290,temminicki,Jeremiah Degenhardt,CC-BY-NC,http://www.inaturalist.org/observations/1193522,https://inaturalist-open-data.s3.amazonaws.com/photos/1507981/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1206347,38280,dominic,Dominic,CC-BY,http://www.inaturalist.org/observations/1206347,https://inaturalist-open-data.s3.amazonaws.com/photos/1523609/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1279977,52839,glmory,Jesse Rorabaugh,CC-BY,http://www.inaturalist.org/observations/1279977,https://inaturalist-open-data.s3.amazonaws.com/photos/1605343/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1283535,22589,sambiology,Sam Kieschnick,CC-BY,http://www.inaturalist.org/observations/1283535,https://inaturalist-open-data.s3.amazonaws.com/photos/1609469/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1289340,52839,glmory,Jesse Rorabaugh,CC-BY,http://www.inaturalist.org/observations/1289340,https://inaturalist-open-data.s3.amazonaws.com/photos/1617259/medium.jpg,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1294701,5692,justin2,Justin,CC-BY,http://www.inaturalist.org/observations/1294701,https://inaturalist-open-data.s3.amazonaws.com/photos/1624182/medium.JPG,Convergent lady beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1297295,38280,dominic,Dominic,CC-BY,http://www.inaturalist.org/observations/1297295,https://inaturalist-open-data.s3.amazonaws.com/photos/1627851/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1354508,3290,temminicki,Jeremiah Degenhardt,CC-BY-NC,http://www.inaturalist.org/observations/1354508,https://inaturalist-open-data.s3.amazonaws.com/photos/1676363/medium.JPG,Convergent Ladybug,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1360590,52839,glmory,Jesse Rorabaugh,CC-BY,http://www.inaturalist.org/observations/1360590,https://inaturalist-open-data.s3.amazonaws.com/photos/1682467/medium.JPG,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1360671,52839,glmory,Jesse Rorabaugh,CC-BY,http://www.inaturalist.org/observations/1360671,https://inaturalist-open-data.s3.amazonaws.com/photos/1682556/medium.JPG,Convergent Ladybug,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
1362606,52839,glmory,Jesse Rorabaugh,CC-BY,http://www.inaturalist.org/observations/1362606,https://inaturalist-open-data.s3.amazonaws.com/photos/1685150/medium.JPG,Convergent Ladybug,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987
