id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2904143,26121,wouterkoch,Wouter Koch,CC0,http://www.inaturalist.org/observations/2904143,https://inaturalist-open-data.s3.amazonaws.com/photos/3322198/medium.jpg,Two-spotted Ladybug,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
3465321,26121,wouterkoch,Wouter Koch,CC0,http://www.inaturalist.org/observations/3465321,https://inaturalist-open-data.s3.amazonaws.com/photos/4024543/medium.jpg,Two-spotted Ladybug,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
3539272,63000,qgroom,Quentin Groom,CC0,http://www.inaturalist.org/observations/3539272,https://inaturalist-open-data.s3.amazonaws.com/photos/4125107/medium.JPG,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
6040258,266296,swells,Steve Wells,CC0,https://www.inaturalist.org/observations/6040258,https://inaturalist-open-data.s3.amazonaws.com/photos/7566681/medium.jpeg,Two-spotted Lady Beetle,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
6945191,26121,wouterkoch,Wouter Koch,CC0,https://www.inaturalist.org/observations/6945191,https://inaturalist-open-data.s3.amazonaws.com/photos/8876621/medium.jpg,Two-spotted Lady Beetle,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
7858884,26121,wouterkoch,Wouter Koch,CC0,https://www.inaturalist.org/observations/7858884,https://inaturalist-open-data.s3.amazonaws.com/photos/10352443/medium.jpg,Coccinelle à deux points,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
7927585,26121,wouterkoch,Wouter Koch,CC0,https://www.inaturalist.org/observations/7927585,https://inaturalist-open-data.s3.amazonaws.com/photos/10464985/medium.jpg,Coccinelle à deux points,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
12521721,266296,swells,Steve Wells,CC0,https://www.inaturalist.org/observations/12521721,https://inaturalist-open-data.s3.amazonaws.com/photos/18080659/medium.jpeg,Coccinelle à deux points,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
12979105,147030,chrisrap,Chris Raper,CC0,https://www.inaturalist.org/observations/12979105,https://inaturalist-open-data.s3.amazonaws.com/photos/18873579/medium.jpg,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
14715451,968504,erinsuzanne,,CC0,https://www.inaturalist.org/observations/14715451,https://inaturalist-open-data.s3.amazonaws.com/photos/21946610/medium.jpg,Two-spotted Ladybug,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
17204824,695735,zoology,Zoe Anthony Quested,CC0,https://www.inaturalist.org/observations/17204824,https://inaturalist-open-data.s3.amazonaws.com/photos/26080677/medium.jpeg,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
18661925,695735,zoology,Zoe Anthony Quested,CC0,https://www.inaturalist.org/observations/18661925,https://inaturalist-open-data.s3.amazonaws.com/photos/28568021/medium.jpg,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
18835315,695735,zoology,Zoe Anthony Quested,CC0,https://www.inaturalist.org/observations/18835315,https://inaturalist-open-data.s3.amazonaws.com/photos/28852786/medium.jpg,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
19004214,26121,wouterkoch,Wouter Koch,CC0,https://www.inaturalist.org/observations/19004214,https://inaturalist-open-data.s3.amazonaws.com/photos/29142058/medium.jpg,Coccinelle à deux points,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
19275278,839042,tikitu,"",CC0,https://www.inaturalist.org/observations/19275278,https://inaturalist-open-data.s3.amazonaws.com/photos/29623472/medium.jpg,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
20013787,737697,tomasp,Tomas Pocius,CC0,https://www.inaturalist.org/observations/20013787,https://inaturalist-open-data.s3.amazonaws.com/photos/30891223/medium.jpeg,Adalia bipunctata,Adalia bipunctata,Two-spotted Lady Beetle,Insecta,52506
