id,user_id,user_login,user_name,license,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
22027969,1312397,mister_bumble,"",CC0,https://www.inaturalist.org/observations/22027969,https://inaturalist-open-data.s3.amazonaws.com/photos/34133329/medium.jpg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
23038460,63000,qgroom,Quentin Groom,CC0,https://www.inaturalist.org/observations/23038460,https://inaturalist-open-data.s3.amazonaws.com/photos/35715597/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
23607242,915668,mark_spider,Mark Pająk,CC0,https://www.inaturalist.org/observations/23607242,https://inaturalist-open-data.s3.amazonaws.com/photos/36549997/medium.jpg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
25868656,379964,dimitribrosens,Dimitri Brosens,CC0,https://www.inaturalist.org/observations/25868656,https://inaturalist-open-data.s3.amazonaws.com/photos/40117464/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
26169433,737697,tomasp,Tomas Pocius,CC0,https://www.inaturalist.org/observations/26169433,https://inaturalist-open-data.s3.amazonaws.com/photos/40612278/medium.jpeg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
26170122,737697,tomasp,Tomas Pocius,CC0,https://www.inaturalist.org/observations/26170122,https://inaturalist-open-data.s3.amazonaws.com/photos/40613519/medium.jpeg,Coccinellini,Adalia decempunctata,10-spot Ladybird,Insecta,130414
27943128,745223,nvolik,Nikolay Volik,CC0,https://www.inaturalist.org/observations/27943128,https://inaturalist-open-data.s3.amazonaws.com/photos/43523907/medium.jpg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
28545645,1540795,formicacid,"",CC0,https://www.inaturalist.org/observations/28545645,https://inaturalist-open-data.s3.amazonaws.com/photos/44506762/medium.jpg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
45502575,1952440,peter_gabler,Peter Gabler,CC0,https://www.inaturalist.org/observations/45502575,https://inaturalist-open-data.s3.amazonaws.com/photos/72155454/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
47635196,1952440,peter_gabler,Peter Gabler,CC0,https://www.inaturalist.org/observations/47635196,https://inaturalist-open-data.s3.amazonaws.com/photos/75556148/medium.jpg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
48596200,213897,joan_carles,Joan C. Hinojosa,CC0,https://www.inaturalist.org/observations/48596200,https://inaturalist-open-data.s3.amazonaws.com/photos/77114959/medium.jpg,kymmenpistepirkko,Adalia decempunctata,10-spot Ladybird,Insecta,130414
48627544,1103000,anna_c56,Anna C,CC0,https://www.inaturalist.org/observations/48627544,https://inaturalist-open-data.s3.amazonaws.com/photos/77184352/medium.jpg,kymmenpistepirkko,Adalia decempunctata,10-spot Ladybird,Insecta,130414
49426453,1168016,peresol,"",CC0,https://www.inaturalist.org/observations/49426453,https://inaturalist-open-data.s3.amazonaws.com/photos/78463488/medium.jpg,Adalia decempunctata,Adalia decempunctata,10-spot Ladybird,Insecta,130414
49465526,2761763,norrland,Norrland,CC0,https://www.inaturalist.org/observations/49465526,https://inaturalist-open-data.s3.amazonaws.com/photos/78523191/medium.jpeg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
50035639,2041659,jensu,Jens Ullenius,CC0,https://www.inaturalist.org/observations/50035639,https://inaturalist-open-data.s3.amazonaws.com/photos/79497016/medium.jpeg,Coccinelle à dix points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
50234881,2890969,wizz1,Kevin,CC0,https://www.inaturalist.org/observations/50234881,https://inaturalist-open-data.s3.amazonaws.com/photos/79772943/medium.jpg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
50482704,1373539,duffyr,duffyr,CC0,https://www.inaturalist.org/observations/50482704,https://inaturalist-open-data.s3.amazonaws.com/photos/80157133/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
52183622,546725,anbalemans,"",CC0,https://www.inaturalist.org/observations/52183622,https://inaturalist-open-data.s3.amazonaws.com/photos/82934414/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
53147014,1870678,giselle_s,Giselle Sterry,CC0,https://www.inaturalist.org/observations/53147014,https://inaturalist-open-data.s3.amazonaws.com/photos/84515697/medium.jpg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
53147016,1870678,giselle_s,Giselle Sterry,CC0,https://www.inaturalist.org/observations/53147016,https://inaturalist-open-data.s3.amazonaws.com/photos/84515767/medium.jpg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
53287169,1236256,steve_mcwilliam,Stephen James McWilliam,CC0,https://www.inaturalist.org/observations/53287169,https://inaturalist-open-data.s3.amazonaws.com/photos/84729553/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
53843543,3222750,neil173,Neil Clark,CC0,https://www.inaturalist.org/observations/53843543,https://inaturalist-open-data.s3.amazonaws.com/photos/85650679/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
54634835,1952440,peter_gabler,Peter Gabler,CC0,https://www.inaturalist.org/observations/54634835,https://inaturalist-open-data.s3.amazonaws.com/photos/86944999/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
54667458,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/54667458,https://inaturalist-open-data.s3.amazonaws.com/photos/86993272/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
54835984,1981378,bhuhtt,"",CC0,https://www.inaturalist.org/observations/54835984,https://inaturalist-open-data.s3.amazonaws.com/photos/87276413/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
54922836,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/54922836,https://inaturalist-open-data.s3.amazonaws.com/photos/87419584/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
54931181,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/54931181,https://inaturalist-open-data.s3.amazonaws.com/photos/87430059/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
55251990,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/55251990,https://inaturalist-open-data.s3.amazonaws.com/photos/87966491/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
55395684,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/55395684,https://inaturalist-open-data.s3.amazonaws.com/photos/88205757/medium.jpeg,Adalia decempunctata,Adalia decempunctata,10-spot Ladybird,Insecta,130414
55807191,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/55807191,https://inaturalist-open-data.s3.amazonaws.com/photos/88885825/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
55808291,2643331,vicbrans,Victor Brans,CC0,https://www.inaturalist.org/observations/55808291,https://inaturalist-open-data.s3.amazonaws.com/photos/88889149/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
58814457,737697,tomasp,Tomas Pocius,CC0,https://www.inaturalist.org/observations/58814457,https://inaturalist-open-data.s3.amazonaws.com/photos/93925329/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
59791942,3222750,neil173,Neil Clark,CC0,https://www.inaturalist.org/observations/59791942,https://inaturalist-open-data.s3.amazonaws.com/photos/95562752/medium.jpeg,tienstippelig lieveheersbeestje,Adalia decempunctata,10-spot Ladybird,Insecta,130414
63095191,2890969,wizz1,Kevin,CC0,https://www.inaturalist.org/observations/63095191,https://inaturalist-open-data.s3.amazonaws.com/photos/101305003/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
72431950,2761763,norrland,Norrland,CC0,https://www.inaturalist.org/observations/72431950,https://inaturalist-open-data.s3.amazonaws.com/photos/118094196/medium.jpeg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
74621003,1599297,crebassa,Crebassa Jason,CC0,https://www.inaturalist.org/observations/74621003,https://inaturalist-open-data.s3.amazonaws.com/photos/121981675/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
74916880,1599297,crebassa,Crebassa Jason,CC0,https://www.inaturalist.org/observations/74916880,https://inaturalist-open-data.s3.amazonaws.com/photos/122503548/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
74939980,3275949,victor0001,Victor Heng,CC0,https://www.inaturalist.org/observations/74939980,https://inaturalist-open-data.s3.amazonaws.com/photos/122542284/medium.jpg,Adalia decempunctata,Adalia decempunctata,10-spot Ladybird,Insecta,130414
76851804,3275949,victor0001,Victor Heng,CC0,https://www.inaturalist.org/observations/76851804,https://inaturalist-open-data.s3.amazonaws.com/photos/125693909/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
77002980,3275949,victor0001,Victor Heng,CC0,https://www.inaturalist.org/observations/77002980,https://inaturalist-open-data.s3.amazonaws.com/photos/125927621/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
77049195,3275949,victor0001,Victor Heng,CC0,https://www.inaturalist.org/observations/77049195,https://inaturalist-open-data.s3.amazonaws.com/photos/126002685/medium.jpeg,10-spot Ladybird,Adalia decempunctata,10-spot Ladybird,Insecta,130414
78452510,2381752,alexis_loiseau,Alexis_lsu,CC0,https://www.inaturalist.org/observations/78452510,https://inaturalist-open-data.s3.amazonaws.com/photos/128395363/medium.jpeg,Coccinelle à 10 points,Adalia decempunctata,10-spot Ladybird,Insecta,130414
78745904,4356361,puffi_thebikingnaturalist,Felix Puff,CC-BY,https://www.inaturalist.org/observations/78745904,https://inaturalist-open-data.s3.amazonaws.com/photos/128907807/medium.jpeg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
79001791,1952440,peter_gabler,Peter Gabler,CC0,https://www.inaturalist.org/observations/79001791,https://inaturalist-open-data.s3.amazonaws.com/photos/129352332/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
79153935,2058326,uffenygaard,Uffe Harboe Nygaard,CC0,https://www.inaturalist.org/observations/79153935,https://inaturalist-open-data.s3.amazonaws.com/photos/135122894/medium.jpg,Zehnpunkt-Marienkäfer,Adalia decempunctata,10-spot Ladybird,Insecta,130414
